UNIQUE_ID,NHS_NO,DOB,DOD,FAMILY_NAME,GIVEN_NAME,OTHER_GIVEN_NAME,TITLE,GENDER,ADDR1,ADDR2,ADDR3,ADDR4,ADDR5,POST_CODE,SENSITIVE_FLAG,GPP,SCENARIO
12,9730015317,04/01/1990,,NIXON,Keith,,Mr,Male,,1 SOMERSET DRIVE,BURTON-UPON-STATHER,SCUNTHORPE,S HUMBERSIDE,DN15 9HN,,A20047,ScenarioSeven_RelativeOver18
13,9730015325,27/12/2012,,NIXON,Winnie,Tammy,Miss,Female,,1 SOMERSET DRIVE,BURTON-UPON-STATHER,SCUNTHORPE,S HUMBERSIDE,DN15 9HN,,A20047,ScenarioSeven_FemaleChild_LAC_UCPP
14,9730015333,18/05/2010,,DAWBER,Sandra,Viola,MISS,Female,,10 DALE STREET,,SCUNTHORPE,S HUMBERSIDE,DN15 7LW,,A20047,ScenarioEight_FemaleChild_UCPP
15,9730015341,23/01/1985,,TWIST,Penny,Peggy,MISS,Female,,36 WHARF ROAD,CROWLE,SCUNTHORPE,S HUMBERSIDE,DN17 4HU,,A20047,ScenarioOne_MotherOver18withUCPP-expired
16,9730015368,01/02/2005,,SYKES,Mandy,Elaine,Mrs,Female,,5 HIGH STREET,KIRMINGTON,ULCEBY,S HUMBERSIDE,DN39 6YZ,,A20047,ScenarioTwo_MotherEquals18-expired
17,9730015376,05/04/2010,,SYKES,Isobel,Sara,Miss,Female,,5 HIGH STREET,KIRMINGTON,ULCEBY,S HUMBERSIDE,DN39 6YZ,,A20047,ScenarioTwo_ChildOnewithCPP-expired
18,9730015384,14/01/2019,,SYKES,Neil,Edmund,Mr,Male,,5 HIGH STREET,KIRMINGTON,ULCEBY,S HUMBERSIDE,DN39 6YZ,,A20047,ScenarioTwo_ChildTwoNoCPP-expired
19,9730015392,07/10/2023,,SYKES,Randal,Ted,Mr,Male,,5 HIGH STREET,KIRMINGTON,ULCEBY,S HUMBERSIDE,DN39 6YZ,,A20047,ScenarioTwo_ChildThreeNoCPP-expired
20,9730015406,23/10/2003,,STRONG,Herman,,Mr,Male,,1 CAISTOR ROAD,,BARTON-UPON-HUMBER,S HUMBERSIDE,DN18 6AH,,A20047,ScenarioThree_FosterFatherOver18-expired
21,9730015414,23/01/2013,,STRONG,Liddy,Heidi,Miss,Female,,1 CAISTOR ROAD,,BARTON-UPON-HUMBER,S HUMBERSIDE,DN18 6AH,,A20047,ScenarioThree_LAC-expired
22,9730015422,16/07/2009,,WELSH,Zenia,Sibyl,Mr,Female,,5 LINTON CLOSE,WESTWOODSIDE,DONCASTER,,DN9 2FS,,A20047,ScenarioFour_FatherUnder18-expired
23,9730015430,04/10/2023,,WELSH,George,Josh,Mr,Male,,5 LINTON CLOSE,WESTWOODSIDE,DONCASTER,,DN9 2FS,,A20047,ScenarioFour_LAC-expired
24,9730015449,04/09/2012,,MANGAN,Kristi,Diane,MISS,Female,THE CHESTNUTS,,CROWLE,SCUNTHORPE,S HUMBERSIDE,DN17 4BW,,A20047,ScenarioFive_FemaleChildCPP_LAC_UCPP-expired
25,9730015457,20/10/2010,,MARSH,Elisa,,MS,Female,,5 NEWPORT DRIVE,WINTERTON,SCUNTHORPE,S HUMBERSIDE,DN15 9RG,,A20047,ScenarioSix_FemaleChildCPP_UCPP-expired
26,9730015465,03/07/1998,,DOPSON,Isaac,Shaun,Mr,Male,ANDREW,FRONT STREET,ALKBOROUGH,SCUNTHORPE,,DN15 9JW,,A20047,ScenarioSeven_RelativeOver18-expired
27,9730015473,25/02/2013,,DOPSON,Megan,Roslyn,Miss,Female,ANDREW,FRONT STREET,ALKBOROUGH,SCUNTHORPE,,DN15 9JW,,A20047,ScenarioSeven_FemaleChild_LAC_UCPP-expired
28,9730015481,05/11/2011,,DAWN,Zoe,,MISS,Female,,10 WEST COMMON LANE,,SCUNTHORPE,S HUMBERSIDE,DN17 1DX,,A20047,ScenarioEight_FemaleChild_UCPP-expired
29,9730015503,19/06/2020,,MENEAR,June,Lynne,MISS,Female,COMMON FARM,SANDTOFT ROAD,BELTON,DONCASTER,S YORKSHIRE,DN9 1RX,,A20047,ScenarioNine_LAC-25views
30,9730015511,04/12/2019,,GRAVES,Evan,Edward,MR,Male,,31 STATION ROAD,GUNNESS,SCUNTHORPE,S HUMBERSIDE,DN15 8TQ,,A20047,ScenarioNine_LAC-26views
31,9730015538,23/06/2020,,RISLEY,Martin,Josh,MR,Male,,10 GLEBE WAY,,BARTON-UPON-HUMBER,S HUMBERSIDE,DN18 6LB,,A20047,ScenarioNine_LAC-25views-expired
32,9730015546,29/12/2021,,COOK,Abby,Leah,MISS,Female,,1 GROSVENOR STREET,,SCUNTHORPE,,DN15 6BE,,A20047,ScenarioNine_LAC-26views-expired
33,9730015554,27/09/2020,,BOW,Nancy,Gloria,MISS,Female,,100 VALLEY VIEW DRIVE,,SCUNTHORPE,S HUMBERSIDE,DN16 3TB,,A20047,ScenarioNine_LAC-25views
33,9730015562,02/06/2021,,HISLOP,Millie,Helene,MS,Female,,188 WARLEY ROAD,,SCUNTHORPE,S HUMBERSIDE,DN16 1PP,,A20047,ScenarioNine_LAC-25views
33,9730015570,12/08/2019,,RAFFLE,Grace,Lela,MS,Female,,11 SOUTH VIEW,BROUGHTON,BRIGG,S HUMBERSIDE,DN20 0EE,,A20047,ScenarioNine_LAC-25views
33,9730015589,08/01/2021,,RODDY,Phoebe,Maxine,MS,Female,CLIFF HOUSE,,WHITTON,SCUNTHORPE,,DN15 9LJ,,A20047,ScenarioNine_LAC-25views
33,9730015597,06/08/2020,,LUNDON,Linda,,MISS,Female,GREENGATES,SILVERSIDES LANE,SCAWBY BROOK,BRIGG,S HUMBERSIDE,DN20 9JP,,A20047,ScenarioNine_LAC-25views
33,9730015600,24/07/2019,,ERVING,Diane,Gladys,MS,Female,,1 POPLAR GARDENS,,SCUNTHORPE,S HUMBERSIDE,DN16 2HG,,A20047,ScenarioNine_LAC-25views
33,9730015619,29/01/2019,,MCVEY,Marian,Diana,MISS,Female,,1 GOODHAND CLOSE,,BARTON-UPON-HUMBER,S HUMBERSIDE,DN18 6JX,,A20047,ScenarioNine_LAC-25views
33,9730015627,23/12/2021,,LANDO,Mavis,Mandy,MISS,Female,,6 POTTERS CLOSE,GOXHILL,BARROW-UPON-HUMBER,S HUMBERSIDE,DN19 7UP,,A20047,ScenarioNine_LAC-25views
33,9730015635,08/05/2019,,STUART,Helena,Diane,MS,Female,,10 SALISBURY CLOSE,,SCUNTHORPE,S HUMBERSIDE,DN17 1PZ,,A20047,ScenarioNine_LAC-25views
34,9730015643,13/09/2022,,ANDREW,Alicia,Polly,MS,Female,,39 AXHOLME ROAD,,SCUNTHORPE,S HUMBERSIDE,DN15 7HJ,,A20047,ChildwithCPP_noAccesses
34,9730015651,13/09/2019,,PENDRY,Angela,June,MISS,Female,MOUNT PLEASANT FARM COTTAGE,NORTH CLIFF ROAD,KIRTON LINDSEY,GAINSBOROUGH,LINCS,DN21 4LB,,A20047,ChildwithCPP_noAccesses
34,9730015678,24/02/2019,,CASH,Alicia,,MS,Female,,10 STUART CLOSE,,SCUNTHORPE,S HUMBERSIDE,DN17 2RL,,A20047,ChildwithCPP_noAccesses
34,9730015686,02/10/2021,,ORME,Verena,,MISS,Female,,10 QUEENS CRESCENT,KEADBY,SCUNTHORPE,S HUMBERSIDE,DN17 3DJ,,A20047,ChildwithCPP_noAccesses
34,9730015694,20/07/2020,,STYCHE,Sally,Alicia,MISS,Female,,12 CLIFF CLOSES ROAD,,SCUNTHORPE,S HUMBERSIDE,DN15 7HU,,A20047,ChildwithCPP_noAccesses
34,9730015708,09/08/2021,,KURTZ,Jodi,,MISS,Female,1 BELTON GATE VILLAS,BELTON ROAD,EPWORTH,DONCASTER,S YORKSHIRE,DN9 1JW,,A20047,ChildwithCPP_noAccesses
34,9730015716,14/09/2021,,BARKER,Hariot,Vicki,MISS,Female,,10 NORTH STREET,CROWLE,SCUNTHORPE,,DN17 4NB,,A20047,ChildwithCPP_noAccesses
34,9730015724,05/07/2020,,GOFF,Viola,Kari,MS,Female,,1 CAISTOR AVENUE,,SCUNTHORPE,S HUMBERSIDE,DN16 3QZ,,A20047,ChildwithCPP_noAccesses
34,9730015732,21/10/2018,,NORTON,Tara,Selena,MISS,Female,,12 ASHBY HIGH STREET,,SCUNTHORPE,S HUMBERSIDE,DN16 2NL,,A20047,ChildwithCPP_noAccesses
34,9730015740,11/01/2019,,PETERS,Zelma,Lauren,MS,Female,,1 WEST SQUARE,,BRIGG,S HUMBERSIDE,DN20 8QQ,,A20047,ChildwithCPP_noAccesses
35,9730015759,19/11/2010,,CREAN,Holly,,MIss,Female,,51 SUNNINGDALE ROAD,,SCUNTHORPE,,DN17 2TW,,A20047,Child < 17 years with a CPP that has start date only
36,9730015767,16/05/2009,,MANTON,Sylvia,Serena,MIss,Female,,1 LOWER MEADOWS,,BARTON-UPON-HUMBER,S HUMBERSIDE,DN18 5RY,,A20047,Child < 17 years with both a CPP and LAC that have start dates only
37,9730015775,22/09/2010,,ANWYLL,Janet,Agnes,MIss,Female,,11 FULBECK ROAD,,SCUNTHORPE,S HUMBERSIDE,DN16 2LL,,A20047,Child < 17 years with a CPP that has a start and end date and a LAC with only a start date. Both also have future delete dates
38,9730015783,23/08/2010,,HAYDEN,Glenda,Ellen,Mss,Female,MANOR FARM,SCHOOL LANE,APPLEBY,SCUNTHORPE,,DN15 0AW,,A20047,"mother < 17 years with a LAC with no end date and also a UCPP (which must have an end date, but do not include a delete date)."
39,9730015791,19/09/2008,,RAY,Annie,Yvette,Mss,Female,,10 ASHFIELD PARK,,SCUNTHORPE,,DN17 2AS,,A20047,Child < 17 years with a CPP with Local Authority A and also one with Local Authority B. Differing start and end dates with both start dates in the past and both end dates in the future i.e. both plans need to be active.
40,9730015805,18/10/2007,,WOOD,Ramona,,Mss,Female,,2 PARKLANDS MOBILE HOMES,,SCUNTHORPE,S HUMBERSIDE,DN17 1SQ,,A20047,"Child < 17 years with a CPP with Local Authority A and also one with Local Authority B. Differing start and end dates. Both start dates in the past, and one end date also in the (very recent) past i.e. only one of the plans is active."
